iter	Logloss	Accuracy
254	0.3102567832	0.8794500665
255	0.3098126591	0.8797322904
256	0.3093521162	0.8801354675
257	0.3089974081	0.8800145144
258	0.3084649452	0.8799741967
259	0.3080401837	0.8802564206
260	0.3075588136	0.880740233
261	0.3071292721	0.8810627747
262	0.3067480788	0.8812643632
263	0.3062079454	0.881828811
264	0.3058566553	0.8816675402
265	0.305368373	0.881828811
266	0.3050019429	0.8821513527
267	0.3045645955	0.8821513527
268	0.3039903074	0.882514212
269	0.3035837676	0.8830786598
270	0.3032229464	0.8830383421
271	0.3027503571	0.8836431077
272	0.3023601319	0.8840866024
273	0.3019882009	0.8840866024
274	0.3016139124	0.8843285086
275	0.3011525019	0.8845300972
276	0.3007201837	0.8845300972
277	0.3002749007	0.8850542273
278	0.2999415294	0.8854170866
279	0.2995038127	0.8855783575
280	0.2989941383	0.8853767689
281	0.2985726538	0.8857396283
282	0.298246963	0.8858202637
283	0.2977103487	0.8865459823
284	0.2973313779	0.8864653469
285	0.2969295283	0.8867878886
286	0.296568378	0.8872313833
287	0.2961147098	0.8873120187
288	0.2957792324	0.8875942426
289	0.2953784975	0.887674878
290	0.2949824858	0.8879974197
291	0.294564664	0.8879167843
292	0.2941000561	0.8883199613
293	0.293757644	0.888360279
294	0.2933487589	0.8884005967
295	0.2930534613	0.8886021852
296	0.2926170268	0.8884409144
297	0.2921115864	0.8886828206
298	0.2917850216	0.8892472685
299	0.29146567	0.889448857
300	0.2910221355	0.8894891747
301	0.2906172954	0.8899729871
302	0.2902874016	0.8903761642
303	0.2899300308	0.8906987058
304	0.2895776178	0.8911018828
305	0.2891266578	0.8907793412
306	0.288671056	0.8911422005
307	0.2882879043	0.8911825182
308	0.2878617901	0.8913437891
309	0.2874478392	0.8917872838
310	0.2869682101	0.8919082369
311	0.286638271	0.8917872838
312	0.2863046178	0.89202919
313	0.2859358991	0.8924323671
314	0.2855434541	0.892714591
315	0.2851676142	0.8930371326
316	0.2846547875	0.8931984034
317	0.2842174335	0.8934806273
318	0.2838710494	0.8936418982
319	0.2834288932	0.893803169
320	0.2830687808	0.8940047575
321	0.2826594729	0.8942869814
322	0.2823360835	0.8947707939
323	0.2819389037	0.8948514293
324	0.2815725389	0.895294924
325	0.2812188091	0.895294924
326	0.2808756454	0.895294924
327	0.2803946686	0.8958190541
328	0.280070186	0.8958190541
329	0.2796890017	0.8958996896
330	0.2791977409	0.8963431843
331	0.2787840584	0.8966657259
332	0.2783202054	0.8971495384
333	0.2780301949	0.8972301738
334	0.2776873084	0.8969882675
335	0.2772655503	0.8973511269
336	0.2769166239	0.8973108092
337	0.2764707053	0.8977139862
338	0.2762011391	0.8978349393
339	0.2758622281	0.8981977987
340	0.2755598728	0.8982784341
341	0.2752430518	0.8983993872
342	0.2748025725	0.898560658
343	0.2743956387	0.8986009757
344	0.2740804353	0.8993266944
345	0.2737378778	0.8992057412
346	0.2733178015	0.8994476475
347	0.2729952563	0.8994879652
348	0.2725966757	0.899649236
349	0.272273877	0.8997701891
350	0.2719180395	0.8999717776
351	0.2715370376	0.8998508245
352	0.2711498556	0.9004959078
353	0.2707987248	0.9006571786
354	0.2703772656	0.9008184494
355	0.2700272503	0.901140991
356	0.2696528633	0.9011813087
357	0.2693898029	0.9013828972
358	0.2690151381	0.901826392
359	0.2686260333	0.9018667097
360	0.2682477377	0.9020279805
361	0.2679654675	0.9019876628
362	0.2677420342	0.9021086159
363	0.267452399	0.9024311575
364	0.2671180106	0.9024714752
365	0.2667529404	0.9028746523
366	0.2663527281	0.9032375116
367	0.2660067268	0.9033987824
368	0.2657081244	0.9034794178
369	0.2653621933	0.903721324
370	0.2650084041	0.903721324
371	0.2646664581	0.9039632303
372	0.2643532475	0.9038422771
373	0.2640569723	0.9041245011
374	0.263663442	0.904406725
375	0.2632322161	0.9046889489
376	0.2628852821	0.9049308551
377	0.262530994	0.905092126
378	0.2622140392	0.9056162561
379	0.2619211861	0.9054146676
380	0.2616038767	0.9055356207
381	0.2611685583	0.9057775269
382	0.2607816551	0.9059791154
383	0.2603998967	0.9062613394
384	0.2600248157	0.9067451518
385	0.2597543547	0.9065435633
386	0.2593526767	0.9066645164
387	0.259038525	0.9070676934
388	0.2586478356	0.9075515059
389	0.2584163166	0.9075918236
390	0.2581725884	0.9079143652
391	0.2578392988	0.9079950006
392	0.2574251871	0.908075636
393	0.2571129303	0.9079546829
394	0.2568396166	0.9082369068
395	0.256622567	0.9083981776
396	0.2562713277	0.9086400839
397	0.2560000359	0.9087207193
398	0.2556200736	0.9090835786
399	0.2552737683	0.9088819901
400	0.25489937	0.9089626255
401	0.254657564	0.9088416724
402	0.2543495414	0.9094061202
403	0.2539917275	0.9098092973
404	0.2536360542	0.9102931097
405	0.2534056267	0.9102124743
406	0.2530450406	0.9104140628
407	0.2527021433	0.9106962867
408	0.2524659026	0.9108172399
409	0.2522043693	0.9110994638
410	0.2519270691	0.9109785107
411	0.2515456225	0.9110994638
412	0.2511975421	0.9113816877
413	0.2509562813	0.9114623231
414	0.2506255069	0.9115429585
415	0.2503368635	0.9117042293
416	0.2500215593	0.9120670887
417	0.2497930174	0.912026771
418	0.2494993132	0.9122686772
419	0.2492843165	0.9126315365
420	0.2489654054	0.9127121719
421	0.2487353182	0.912833125
422	0.2484051892	0.9129943958
423	0.2480167509	0.9131959844
424	0.2477319837	0.9133572552
425	0.2474682935	0.9136797968
426	0.2472770157	0.9136797968
427	0.2470002898	0.913518526
428	0.2467368262	0.9138813853
429	0.2464400425	0.9140023384
430	0.2461060557	0.9142039269
431	0.2457769815	0.9144458332
432	0.2454647328	0.9144861509
433	0.2451614425	0.9147683748
434	0.2448891732	0.9145667863
435	0.244572471	0.9150909164
436	0.2442747148	0.9151715518
437	0.2439591601	0.9153328226
438	0.2436557138	0.9156150466
439	0.2433357292	0.9155344112
440	0.2430441553	0.9155747289
441	0.242766927	0.9158972705
442	0.2424516758	0.9163004475
443	0.2421636521	0.916502036
444	0.2418639427	0.9167036246
445	0.2416327539	0.9168245777
446	0.2413679748	0.9168245777
447	0.2410207763	0.9172277547
